20250425	17:47:10	80a5af7d-4314-468e-9a5f-c6324e64da52	/new-page.html	GET
20250425	17:47:10	cec9d642-19b7-4f6a-97f9-2db38ea6be3e	/css/style.css	GET
20250425	17:47:10	b31f7292-c36b-4d76-81a5-96db5529b5d7	/img/img1.jpg	GET
20250425	17:47:10	977248f8-abd9-42f9-b7c0-589cc9ddbca3	/favicon.ico	GET
20250425	17:49:09	955c8633-2df4-419c-ba00-27af0c57ab5d	/	GET
20250425	17:49:09	b7217621-67c9-4412-82be-b1794a094de1	/css/style.css	GET
20250430	15:23:44	0b9959c3-c8c7-4e2c-af6e-e4743a0e3c48	GET	undefined	/
20250430	15:23:44	de47d194-9ca3-4b0f-902b-9e75dc17e997	GET	undefined	/css/style.css
20250430	15:26:37	de09d9cc-a2b6-4ccd-91b0-ef9f8d9cb5cd	GET	undefined	/
20250430	15:26:37	d1db931c-e9ef-402f-b7d2-748d8f6a7fa6	GET	undefined	/css/style.css
20250430	15:45:46	a4010997-2be2-49a1-a067-21267f6bf431	OPTIONS	https://www.google.com	/
20250430	15:45:46	6c9c8b4c-6765-4b93-be3f-efc1f8ccbf28	GET	https://www.google.com	/
20250430	15:48:15	82caa0bd-9f45-49e0-b0c3-eebd193ffa03	OPTIONS	https://www.google.com	/
20250430	15:48:15	6aea4b50-03ed-45f4-8eb3-58c2f6d0b529	GET	https://www.google.com	/
20250430	15:51:34	534f3f42-4bf7-4343-a652-101049a279b0	GET	undefined	/
20250430	15:52:47	dee3d89a-271e-4f80-a509-d9eb8a2da8f3	GET	undefined	/
20250430	15:52:47	d79d0988-bd82-4648-a96c-9480b3c44bd0	GET	undefined	/css/style.css
20250430	16:11:15	5db14a48-3914-448f-a0b3-6c1665f35000	GET	undefined	/
20250430	16:11:15	88e73553-7859-4086-b08c-d085a1bdcd81	GET	undefined	/css/style.css
20250430	16:11:19	a9eb8c2a-35f1-403c-8c83-41198acfc3e5	GET	undefined	/igor
20250430	16:11:19	48d782f9-681e-4f8c-b7a1-6841a7bd4c2f	GET	undefined	/css/style.css
20250430	16:12:08	7e5b0286-92d5-4fdf-9fe7-0d7bf773f4ec	GET	undefined	/
20250430	16:12:16	19c0c2e5-a23e-49d5-93db-399199b04e81	GET	undefined	/
20250430	16:12:16	b58be67c-bf9c-4929-b3c2-504b2589cff8	GET	undefined	/css/style.css
20250506	15:21:03	f36fb901-23b8-44ef-a21c-e55fabee508c	GET	undefined	/
20250506	15:21:39	bb128d38-020d-4a66-a07b-4e76f02093ac	GET	undefined	/
20250506	15:25:01	b1e13092-2205-42f5-9d42-37cc43fdd244	GET	undefined	/
20250506	15:27:06	ebf57db8-4f95-400a-bf23-4e36f2524721	GET	undefined	/subdir/
20250506	15:27:06	984bbf42-edcd-48a8-8380-ba643a88ba41	GET	undefined	/favicon.ico
20250506	15:28:03	32fdfb5d-9e06-48f3-be07-46f2b4bf6dc5	GET	undefined	/subdir/test
20250506	15:31:40	8653ef45-d812-4bcf-9566-b22924548ef4	GET	undefined	/subdir/dave
20250506	15:31:40	f15d2dcb-d37b-47ee-9205-b1d83efd5079	GET	undefined	/css/style.css
20250506	15:39:04	7fde76f2-7c67-4c19-9310-1b11909a376a	GET	undefined	/
20250506	15:39:04	c89e77dc-fb38-47cc-bb71-73748d5d90b8	GET	undefined	/css/style.css
20250506	15:39:28	6e053747-c05b-4b28-b68c-f9dbd8481987	GET	undefined	/new-page.html
20250506	15:39:28	9e610531-cf6a-464a-b158-f2f35043237c	GET	undefined	/css/style.css
20250506	15:39:33	8e00ca39-6f2e-4aff-8374-23af3f86f4ab	GET	undefined	/new-page
20250506	15:39:33	e71492cf-1091-47bf-bb53-d8e62a1a9ccf	GET	undefined	/img/img1.jpg
20250506	15:39:33	ba8177d3-4029-493a-addb-1f5f7c7aa57b	GET	undefined	/css/style.css
20250506	15:39:51	5f884434-e722-494b-aa3b-158cddb5ada3	GET	undefined	/old-page
20250506	15:39:51	5eb27228-afa8-43e8-81b9-af128ad1fddf	GET	undefined	/new-page
20250506	15:39:51	2004bbd6-0979-4344-8dd4-6bd40d9fb4ea	GET	undefined	/css/style.css
20250506	15:39:51	048baa80-4472-4ae2-8e7e-9130f76f1785	GET	undefined	/img/img1.jpg
20250506	16:03:19	bf866350-2019-4751-bea4-7be710791b17	GET	undefined	/employees
20250506	16:04:58	ba7a1990-a8e9-4b18-883e-c5888cc205c2	POST	undefined	/employees
20250506	16:05:02	2e83b100-50f2-4aa9-8bce-7c459a8d7e96	GET	undefined	/employees
20250506	16:06:34	bcae1eaa-49fa-4348-aa9c-acf3945bef00	PUT	undefined	/employees
20250506	16:07:07	763c86dd-a427-4f37-b534-af9161c59ec1	DELETE	undefined	/employees
20250506	16:07:12	e27d369a-a645-456c-b58e-a0bed8246bf2	DELETE	undefined	/employees
20250506	16:07:56	9b938327-985e-4891-b422-28820686e7d8	GET	undefined	/employees/1
